contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
117,0,0,unlabeled,42,0,0,0,
118,0,0,unlabeled,42,0,0,0,
119,0,0,unlabeled,37,0,0,0,
120,0,0,unlabeled,34,0,0,0,
121,0,0,unlabeled,29,0,0,0,
122,0,0,unlabeled,25,0,0,0,
123,0,0,unlabeled,24,0,0,0,
124,0,0,unlabeled,18,0,0,0,
125,0,0,unlabeled,18,0,0,0,
126,0,0,unlabeled,8,0,0,0,
127,0,0,unlabeled,8,0,0,0,
128,0,0,unlabeled,7,0,0,0,
129,0,0,unlabeled,7,0,0,0,
130,0,0,unlabeled,6,0,0,0,
131,0,0,unlabeled,5,0,0,0,
132,0,0,unlabeled,1,0,0,0,
133,0,0,unlabeled,1,0,0,0,
134,0,0,unlabeled,1,0,0,0,
135,0,0,unlabeled,1,0,0,0,
136,0,0,unlabeled,1,0,0,0,
137,0,0,unlabeled,1,0,0,0,
138,0,0,unlabeled,1,0,0,0,
139,0,0,unlabeled,1,0,0,0,
140,0,0,unlabeled,1,0,0,0,
141,0,0,unlabeled,1,0,0,0,
142,0,0,unlabeled,1,0,0,0,
143,0,0,unlabeled,1,0,0,0,
144,0,0,unlabeled,1,0,0,0,
145,0,0,unlabeled,1,0,0,0,
146,0,0,unlabeled,1,0,0,0,
147,0,0,unlabeled,1,0,0,0,
148,0,0,unlabeled,1,0,0,0,
149,0,0,unlabeled,1,0,0,0,
150,0,0,unlabeled,1,0,0,0,
151,0,0,unlabeled,1,0,0,0,
152,0,0,unlabeled,1,0,0,0,
153,0,0,unlabeled,1,0,0,0,
154,0,0,unlabeled,1,0,0,0,
155,0,0,unlabeled,1,0,0,0,
156,0,0,unlabeled,1,0,0,0,
157,0,0,unlabeled,1,0,0,0,
