contig,plasmid_score,chrom_score,label,length,chr_coverage,pl_coverage,un_coverage,hybrid_mapsto
120,0,1,chromosome,175,175,0,0,1
121,0,1,chromosome,173,173,0,0,1
122,0,1,chromosome,161,161,0,0,1
123,0,1,chromosome,161,161,0,0,1
124,0,1,chromosome,161,161,0,0,1
125,0,1,chromosome,158,158,0,0,1
126,0,1,chromosome,157,157,0,0,1
127,0,1,chromosome,155,155,0,0,1
128,0,1,chromosome,154,154,0,0,1
129,0,1,chromosome,153,153,0,0,1
130,0,1,chromosome,152,152,0,0,1
131,0,1,chromosome,151,151,0,0,1
132,0,1,chromosome,151,151,0,0,1
133,0,1,chromosome,150,150,0,0,1
134,0,1,chromosome,149,149,0,0,1
135,0,1,chromosome,146,146,0,0,1
136,0,1,chromosome,144,144,0,0,1
137,0,1,chromosome,140,140,0,0,1
138,0,1,chromosome,140,140,0,0,1
139,0,1,chromosome,139,139,0,0,1
140,0,1,chromosome,138,138,0,0,1
141,0,1,chromosome,137,137,0,0,1
142,0,1,chromosome,133,133,0,0,1
143,0,1,chromosome,133,133,0,0,1
144,0,1,chromosome,133,133,0,0,1
145,0,1,chromosome,133,133,0,0,1
146,0,1,chromosome,132,132,0,0,1
147,0,1,chromosome,131,131,0,0,1
148,0,1,chromosome,130,130,0,0,1
149,0,1,chromosome,130,130,0,0,1
150,0,1,chromosome,130,130,0,0,1
151,0,1,chromosome,129,129,0,0,1
152,0,1,chromosome,128,128,0,0,1
153,0,1,chromosome,128,128,0,0,1
154,0,1,chromosome,128,128,0,0,1
155,0,1,chromosome,122,122,0,0,1
156,0,1,chromosome,122,122,0,0,1
157,0,1,chromosome,121,121,0,0,1
158,0,1,chromosome,121,121,0,0,1
159,0,1,chromosome,115,115,0,0,1
160,0,1,chromosome,115,115,0,0,1
161,0,1,chromosome,112,112,0,0,1
162,0,1,chromosome,112,112,0,0,1
163,0,1,chromosome,110,110,0,0,1
164,0,1,chromosome,110,110,0,0,1
165,0,1,chromosome,110,110,0,0,1
166,0,1,chromosome,108,108,0,0,1
167,0,1,chromosome,108,108,0,0,1
168,0,1,chromosome,106,106,0,0,1
169,0,1,chromosome,106,106,0,0,1
170,0,1,chromosome,103,103,0,0,1
171,0,1,chromosome,97,97,0,0,1
172,0,1,chromosome,92,92,0,0,1
173,0,1,chromosome,92,92,0,0,1
174,0,1,chromosome,86,86,0,0,1
175,0,1,chromosome,86,86,0,0,1
176,0,1,chromosome,74,74,0,0,1
177,0,1,chromosome,69,69,0,0,1
178,0,1,chromosome,53,53,0,0,1
179,0,1,chromosome,52,52,0,0,1
180,0,1,chromosome,49,49,0,0,1
181,0,1,chromosome,49,49,0,0,1
182,0,0,unlabeled,46,0,0,0,
183,0,0,unlabeled,46,0,0,0,
184,0,0,unlabeled,42,0,0,0,
185,0,0,unlabeled,42,0,0,0,
186,0,0,unlabeled,39,0,0,0,
187,0,0,unlabeled,37,0,0,0,
188,0,0,unlabeled,37,0,0,0,
189,0,0,unlabeled,37,0,0,0,
190,0,0,unlabeled,37,0,0,0,
191,0,0,unlabeled,37,0,0,0,
192,0,0,unlabeled,37,0,0,0,
193,0,0,unlabeled,29,0,0,0,
194,0,0,unlabeled,29,0,0,0,
195,0,0,unlabeled,27,0,0,0,
196,0,0,unlabeled,27,0,0,0,
197,0,0,unlabeled,25,0,0,0,
198,0,0,unlabeled,25,0,0,0,
199,0,0,unlabeled,21,0,0,0,
200,0,0,unlabeled,21,0,0,0,
201,0,0,unlabeled,13,0,0,0,
202,0,0,unlabeled,13,0,0,0,
203,0,0,unlabeled,9,0,0,0,
204,0,0,unlabeled,9,0,0,0,
205,0,0,unlabeled,6,0,0,0,
206,0,0,unlabeled,1,0,0,0,
207,0,0,unlabeled,1,0,0,0,
208,0,0,unlabeled,1,0,0,0,
209,0,0,unlabeled,1,0,0,0,
210,0,0,unlabeled,1,0,0,0,
211,0,0,unlabeled,1,0,0,0,
212,0,0,unlabeled,1,0,0,0,
213,0,0,unlabeled,1,0,0,0,
214,0,0,unlabeled,1,0,0,0,
215,0,0,unlabeled,1,0,0,0,
216,0,0,unlabeled,1,0,0,0,
217,0,0,unlabeled,1,0,0,0,
218,0,0,unlabeled,1,0,0,0,
219,0,0,unlabeled,1,0,0,0,
220,0,0,unlabeled,1,0,0,0,
221,0,0,unlabeled,1,0,0,0,
222,0,0,unlabeled,1,0,0,0,
223,0,0,unlabeled,1,0,0,0,
224,0,0,unlabeled,1,0,0,0,
225,0,0,unlabeled,1,0,0,0,
226,0,0,unlabeled,1,0,0,0,
227,0,0,unlabeled,1,0,0,0,
228,0,0,unlabeled,1,0,0,0,
229,0,0,unlabeled,1,0,0,0,
230,0,0,unlabeled,1,0,0,0,
231,0,0,unlabeled,1,0,0,0,
232,0,0,unlabeled,1,0,0,0,
233,0,0,unlabeled,1,0,0,0,
234,0,0,unlabeled,1,0,0,0,
235,0,0,unlabeled,1,0,0,0,
236,0,0,unlabeled,1,0,0,0,
237,0,0,unlabeled,1,0,0,0,
238,0,0,unlabeled,1,0,0,0,
239,0,0,unlabeled,1,0,0,0,
240,0,0,unlabeled,1,0,0,0,
241,0,0,unlabeled,1,0,0,0,
242,0,0,unlabeled,1,0,0,0,
243,0,0,unlabeled,1,0,0,0,
244,0,0,unlabeled,1,0,0,0,
245,0,0,unlabeled,1,0,0,0,
246,0,0,unlabeled,1,0,0,0,
247,0,0,unlabeled,1,0,0,0,
248,0,0,unlabeled,1,0,0,0,
